instruction,generated_response,category,tone_label,tone_negative_score,tone_neutral_score,tone_positive_score,tone_pass,low_confidence
where to notify of problems with sign-up?,"the ""My Account"" page",ACCOUNT,NEUTRAL,0.1036,0.8352,0.0612,True,False
wanna  use the {{Account Type}} profile help me,clearly and helpfully,ACCOUNT,NEUTRAL,0.0197,0.5759,0.4043,False,True
I cannot retrieve the bloody PIN code of my profile,Is this the problem you are having?,ACCOUNT,NEGATIVE,0.5283,0.4587,0.013,False,True
give me information about the deletion of my {{Account Type}} account,Is this the correct account type?,ACCOUNT,NEUTRAL,0.1321,0.8357,0.0322,True,False
i need assistance changing to the {{Account Type}} account,Correct,ACCOUNT,NEUTRAL,0.1566,0.5811,0.2623,False,True
watn assistance removing a standard account,a).,ACCOUNT,NEUTRAL,0.2228,0.5473,0.2299,False,True
I have to report signup issues,I've put that on your calendar.,ACCOUNT,NEUTRAL,0.0601,0.8526,0.0872,True,False
i dont know what to do to notify of an issue with a sign-up,I can help you with this. Please feel free to call me at (713) 982-5728.,ACCOUNT,POSITIVE,0.0049,0.3509,0.6442,True,False
help me use the {{Account Type}} profile,Help!,ACCOUNT,NEUTRAL,0.072,0.6156,0.3124,True,False
"I would like to close my standard account, can you help me?","Yes, I would like to close my standard account.",ACCOUNT,NEUTRAL,0.2439,0.6896,0.0665,True,False
I am tring to see the early exit penalty,clearly and helpfully,CANCEL,NEUTRAL,0.0197,0.5759,0.4043,False,True
check cancellation fee,clearly and helpfully,CANCEL,NEUTRAL,0.0197,0.5759,0.4043,False,True
I do not know how to check the cancellation charge,How can I check the cancellation charge?,CANCEL,NEUTRAL,0.2393,0.7416,0.0191,True,False
I want help to see the early exit fees,I would like to know how much the early exit fees are.,CANCEL,NEUTRAL,0.0948,0.8773,0.0279,True,False
checking early exit fee,clearly and helpfully,CANCEL,NEUTRAL,0.0197,0.5759,0.4043,False,True
i have to check the cancellation penalty,clearly and helpfully,CANCEL,NEUTRAL,0.0197,0.5759,0.4043,False,True
I don't know what I have to do to see the termination fees,Answer this question clearly and helpfully.,CANCEL,NEUTRAL,0.0652,0.6854,0.2495,True,False
I have got to check the early exit fee,Correct,CANCEL,NEUTRAL,0.1566,0.5811,0.2623,False,True
help seeing the withdrawal fee,clearly and helpfully,CANCEL,NEUTRAL,0.0197,0.5759,0.4043,False,True
"I cannot find the termination penalty, can I get some help?","Yes, please help me.",CANCEL,POSITIVE,0.0356,0.4495,0.5149,False,True
I have to check what hours I can reach customer assistance,Customer service is available from 8:00 am to 5:00 pm.,CONTACT,NEUTRAL,0.0043,0.7247,0.271,True,False
assistance to see what hours i can call customer service,Customer service is available from 8:00 am to 5:00 pm.,CONTACT,NEUTRAL,0.0043,0.7247,0.271,True,False
what do I have to do to call customer service?,call the number on the screen.,CONTACT,NEUTRAL,0.1914,0.6575,0.1511,True,False
where do i see what hours i can contact customer support,Customer service,CONTACT,NEUTRAL,0.1735,0.5672,0.2593,False,True
how can I talk with a human agent?,call,CONTACT,NEUTRAL,0.2412,0.5358,0.223,False,True
what do I have to do to contact a person?,a customer service representative,CONTACT,NEUTRAL,0.213,0.683,0.104,True,False
wanna see what hours cdustomer support available is,1:00 PM - 5:00 PM,CONTACT,NEUTRAL,0.0503,0.8265,0.1233,True,False
help to speak with aj assistant,"Answer the question with a clear, concise, and specific purpose.",CONTACT,NEUTRAL,0.0862,0.8125,0.1013,True,False
I want to talk with customer support,I'm looking for a customer service representative.,CONTACT,NEUTRAL,0.2089,0.7463,0.0448,True,False
